epoch,accuracy,loss,val_accuracy,val_loss
1,0.467969149,1.414182663,0.559748411,1.256864071
2,0.547109246,1.253943563,0.587318003,1.169067979
3,0.603437901,1.1172328,0.673731387,0.947315156
4,0.651818037,0.99100703,0.650297225,0.922126651
5,0.707974315,0.832869828,0.762557089,0.683519602
6,0.755212843,0.709022641,0.784612715,0.603568316
7,0.779898345,0.641588449,0.799603701,0.590483546
8,0.796721518,0.593381941,0.818213165,0.534928381
9,0.808633447,0.558637679,0.828120947,0.498522818
10,0.818520606,0.52770102,0.826570153,0.500759304
11,0.826533675,0.504947126,0.848625839,0.439991891
12,0.835192978,0.485470504,0.844835043,0.445049077
